5 4 11 0
5 4 15 1
5 4 11 0
5 4 13 0
5 4 13 0
5 4 29 3
5 4 17 1
5 4 15 0
5 4 9 0
5 4 23 2
5 4 21 2
5 4 13 0
5 4 9 0
5 4 9 0
5 4 9 0
5 4 17 0
5 4 11 1
5 4 15 1
5 4 19 0
5 4 19 0
5 4 15 0
5 4 7 0
5 4 19 1
5 4 5 0
5 4 11 0
5 4 19 0
5 4 13 0
5 4 15 0
5 4 15 1
5 4 17 0
5 4 29 3
5 4 13 0
5 4 23 1
5 4 11 0
5 4 19 3
5 4 13 0
5 4 13 1
5 4 15 0
5 4 13 0
5 4 21 3
5 4 13 2
5 4 17 1
5 4 19 0
5 4 19 0
5 4 9 0
5 4 15 0
5 4 7 0
5 4 15 1
5 4 13 0
5 4 15 0
5 4 17 0
5 4 5 0
5 4 19 1
5 4 21 2
5 4 17 0
5 4 9 0
5 4 13 0
5 4 19 0
5 4 7 0
5 4 11 0
5 4 19 1
5 4 17 0
5 4 19 1
5 4 11 1
5 4 21 0
5 4 25 0
5 4 11 1
5 4 13 0
5 4 25 2
5 4 23 0
5 4 15 1
5 4 15 0
5 4 15 0
5 4 11 0
5 4 13 1
5 4 17 0
5 4 13 0
5 4 21 0
5 4 9 0
5 4 15 0
5 4 27 0
5 4 23 0
5 4 17 1
5 4 9 0
5 4 17 0
5 4 19 1
5 4 19 3
5 4 11 0
5 4 7 0
5 4 7 0
5 4 23 1
5 4 15 0
5 4 9 0
5 4 19 0
5 4 19 1
5 4 19 2
5 4 21 1
5 4 11 0
5 4 15 2
5 4 13 0
5 4 11 0
5 4 13 0
5 4 13 0
5 4 13 0
5 4 11 0
5 4 17 1
5 4 13 0
5 4 25 1
5 4 19 1
5 4 17 1
5 4 19 0
5 4 23 2
5 4 17 0
5 4 9 0
5 4 31 2
5 4 11 0
5 4 15 1
5 4 17 1
5 4 9 0
5 4 11 0
5 4 15 1
5 4 17 0
5 4 17 0
5 4 25 0
5 4 19 1
5 4 25 0
5 4 11 1
5 4 21 0
5 4 19 1
5 4 19 1
5 4 7 0
5 4 13 0
5 4 11 0
5 4 15 0
5 4 11 0
5 4 13 0
5 4 21 0
5 4 19 0
5 4 21 0
5 4 13 0
5 4 15 1
5 4 9 0
5 4 11 0
5 4 15 0
5 4 15 2
5 4 15 0
5 4 9 0
5 4 17 0
5 4 17 0
5 4 17 0
5 4 17 0
5 4 13 0
5 4 21 0
5 4 19 1
5 4 15 0
5 4 11 0
5 4 13 0
5 4 11 0
5 4 33 0
5 4 15 1
5 4 19 1
5 4 19 0
5 4 17 0
5 4 17 0
5 4 11 1
5 4 21 0
5 4 11 0
5 4 7 1
5 4 7 0
5 4 21 0
5 4 15 0
5 4 13 0
5 4 15 1
5 4 17 0
5 4 17 0
5 4 7 0
5 4 23 0
5 4 13 0
5 4 21 0
5 4 23 0
5 4 15 1
5 4 15 1
5 4 19 0
5 4 15 0
5 4 11 1
5 4 19 2
5 4 13 2
5 4 9 1
5 4 13 0
5 4 17 1
5 4 15 0
5 4 17 0
5 4 13 1
5 4 15 0
5 4 27 0
5 4 9 0
5 4 13 0
5 4 19 0
5 4 17 0
5 4 15 0
